instrument,entry_time,exit_time,entry_price,exit_price,exit_reason,pnl_pts,pnl_pct,pnl_gbp,atr_at_entry,volatility_regime,all_7_factors_at_entry,binding_constraint,volume_marginal
DAX,2021-06-21 13:40:00+02:00,2021-06-21 15:10:00+02:00,17339.7,17346.4,TIME,6.700000000000728,0.0003863965351188733,100.06740152681044,6.695487139441347,low,"{""ema_stack"": true, ""trend"": true, ""macd_cross"": true, ""rsi"": true, ""adx"": true, ""volume"": true, ""bb_break"": true}","[""macd_cross"", ""volume"", ""bb_break""]",False
DAX,2021-10-14 15:50:00+02:00,2021-10-14 15:55:00+02:00,17228.3,17221.178169567218,SL,-7.12183043278128,-0.0004133797549834447,-101.00067401529294,7.121830432779529,low,"{""ema_stack"": true, ""trend"": true, ""macd_cross"": true, ""rsi"": true, ""adx"": true, ""volume"": true, ""bb_break"": true}","[""adx""]",False
DAX,2021-12-29 15:45:00+01:00,2021-12-29 15:55:00+01:00,17637.3,17630.217771137886,SL,-7.08222886211297,-0.0004015483584286127,-99.99066727509938,7.082228862114088,low,"{""ema_stack"": true, ""trend"": true, ""macd_cross"": true, ""rsi"": true, ""adx"": true, ""volume"": true, ""bb_break"": true}","[""adx"", ""volume"", ""bb_break""]",True
DAX,2022-03-18 12:35:00+01:00,2022-03-18 13:00:00+01:00,16038.1,16019.441209866774,TRAILING,-18.65879013322592,-0.0011634040274861686,-63.86406753721856,28.921550074014682,low,"{""ema_stack"": true, ""trend"": true, ""macd_cross"": true, ""rsi"": true, ""adx"": true, ""volume"": true, ""bb_break"": true}","[""macd_cross""]",False
DAX,2022-08-16 13:35:00+02:00,2022-08-16 14:30:00+02:00,15524.9,15531.902805112695,TRAILING,7.002805112695569,0.00045106925730249915,70.85326070089592,9.72066382628003,low,"{""ema_stack"": true, ""trend"": true, ""macd_cross"": true, ""rsi"": true, ""adx"": true, ""volume"": true, ""bb_break"": true}","[""volume""]",True
DAX,2023-01-20 15:55:00+01:00,2023-01-20 16:00:00+01:00,16683.3,16682.2,SESSION_END,-1.0999999999985448,-6.59341976706374e-05,-11.123213852729211,9.796333975950722,low,"{""ema_stack"": true, ""trend"": true, ""macd_cross"": true, ""rsi"": true, ""adx"": true, ""volume"": true, ""bb_break"": true}","[""macd_cross"", ""bb_break""]",False
DAX,2023-01-31 15:50:00+01:00,2023-01-31 16:00:00+01:00,16757.1,16775.8,SESSION_END,18.700000000000728,0.0011159448830645356,238.9732940112967,7.7429328203843575,low,"{""ema_stack"": true, ""trend"": true, ""macd_cross"": true, ""rsi"": true, ""adx"": true, ""volume"": true, ""bb_break"": true}","[""adx"", ""bb_break""]",False
DAX,2023-02-07 12:45:00+01:00,2023-02-07 13:00:00+01:00,16969.5,16961.86087766009,TRAILING,-7.63912233991141,-0.00045016779162093223,-60.48216254585766,12.799512411062222,low,"{""ema_stack"": true, ""trend"": true, ""macd_cross"": true, ""rsi"": true, ""adx"": true, ""volume"": true, ""bb_break"": true}","[""bb_break""]",True
DAX,2023-05-09 13:55:00+02:00,2023-05-09 14:50:00+02:00,17456.1,17450.99125251985,TRAILING,-5.108747480149759,-0.0002926625924547728,-87.31730825463062,5.893748600082334,low,"{""ema_stack"": true, ""trend"": true, ""macd_cross"": true, ""rsi"": true, ""adx"": true, ""volume"": true, ""bb_break"": true}","[""macd_cross"", ""volume""]",True
DAX,2023-05-17 15:55:00+02:00,2023-05-17 16:00:00+02:00,17503.0,17506.2,SESSION_END,3.2000000000007276,0.00018282580129124878,40.00371714803887,7.988150361772074,low,"{""ema_stack"": true, ""trend"": true, ""macd_cross"": true, ""rsi"": true, ""adx"": true, ""volume"": true, ""bb_break"": true}","[""volume"", ""bb_break""]",False
DAX,2023-12-08 14:40:00+01:00,2023-12-08 15:30:00+01:00,18081.7,18075.99460429643,SL,-5.705395703571412,-0.00031553425306090753,-100.26119579904301,5.705395703572501,low,"{""ema_stack"": true, ""trend"": true, ""macd_cross"": true, ""rsi"": true, ""adx"": true, ""volume"": true, ""bb_break"": true}","[""macd_cross"", ""adx"", ""volume""]",True
