timestamp,equity,drawdown_pct
2021-04-08 14:30:00+02:00,10000.0,0.0
2021-04-08 14:35:00+02:00,10000.0,0.0
2021-04-08 14:40:00+02:00,10000.0,0.0
2021-04-08 14:45:00+02:00,10000.0,0.0
2021-04-08 14:50:00+02:00,10000.0,0.0
2021-04-08 14:55:00+02:00,10000.0,0.0
2021-04-08 15:00:00+02:00,10000.0,0.0
2021-04-08 15:05:00+02:00,10000.0,0.0
2021-04-08 15:10:00+02:00,10000.0,0.0
2021-04-08 15:15:00+02:00,10000.0,0.0
2021-04-08 15:20:00+02:00,10000.0,0.0
2021-04-08 15:25:00+02:00,10000.0,0.0
2021-04-08 15:30:00+02:00,10000.0,0.0
2021-04-08 15:35:00+02:00,10000.0,0.0
2021-04-08 15:40:00+02:00,10000.0,0.0
2021-04-08 15:45:00+02:00,10000.0,0.0
2021-04-08 15:50:00+02:00,10000.0,0.0
2021-04-08 15:55:00+02:00,10000.0,0.0
2021-04-08 16:00:00+02:00,10000.0,0.0
2021-04-08 16:05:00+02:00,10000.0,0.0
2021-04-08 16:10:00+02:00,10000.0,0.0
2021-04-08 16:15:00+02:00,10000.0,0.0
2021-04-08 16:20:00+02:00,10000.0,0.0
2021-04-08 16:25:00+02:00,10000.0,0.0
2021-04-08 16:30:00+02:00,10000.0,0.0
2021-04-08 16:35:00+02:00,10000.0,0.0
2021-04-08 16:40:00+02:00,10000.0,0.0
2021-04-08 16:45:00+02:00,10000.0,0.0
2021-04-08 16:50:00+02:00,10000.0,0.0
2021-04-08 16:55:00+02:00,10000.0,0.0
2021-04-08 17:00:00+02:00,10000.0,0.0
2021-04-08 17:05:00+02:00,10000.0,0.0
2021-04-08 17:10:00+02:00,10000.0,0.0
2021-04-08 17:15:00+02:00,10000.0,0.0
2021-04-08 17:20:00+02:00,10000.0,0.0
2021-04-08 17:25:00+02:00,10000.0,0.0
2021-04-08 17:30:00+02:00,10000.0,0.0
2021-04-08 17:35:00+02:00,10000.0,0.0
2021-04-08 17:40:00+02:00,10000.0,0.0
2021-04-08 17:45:00+02:00,10000.0,0.0
2021-04-08 17:50:00+02:00,10000.0,0.0
2021-04-08 17:55:00+02:00,10000.0,0.0
2021-04-08 18:00:00+02:00,10000.0,0.0
2021-04-08 18:05:00+02:00,10000.0,0.0
2021-04-08 18:10:00+02:00,10000.0,0.0
2021-04-08 18:15:00+02:00,10000.0,0.0
2021-04-08 18:20:00+02:00,10000.0,0.0
2021-04-08 18:25:00+02:00,10000.0,0.0
2021-04-08 18:30:00+02:00,10000.0,0.0
2021-04-08 18:35:00+02:00,10000.0,0.0
2021-04-08 18:40:00+02:00,10000.0,0.0
2021-04-08 18:45:00+02:00,10000.0,0.0
2021-04-08 18:50:00+02:00,10000.0,0.0
2021-04-08 18:55:00+02:00,10000.0,0.0
