direction,entry,exit,pnl_pts,mfe,adds,reason,bar_num,range_flag,bar_range,date,signal,instrument,year
SHORT,13282.9,13295.0,-12.1,3.2,0,STOP,5,NORMAL,18.3,2020-01-02,DAX_S1,DAX,2020
LONG,13305.2,13337.2,32.0,40.7,1,STOP,5,NORMAL,18.3,2020-01-02,DAX_S1,DAX,2020
SHORT,13255.7,13188.0,67.7,86.8,2,STOP,5,NORMAL,16.7,2020-01-03,DAX_S1,DAX,2020
SHORT,13255.7,13202.9,52.8,67.2,1,STOP,5,NORMAL,16.7,2020-01-03,DAX_S1,DAX,2020
SHORT,13050.8,12977.0,73.8,91.8,2,STOP,5,NORMAL,26.3,2020-01-06,DAX_S1,DAX,2020
SHORT,13050.8,12972.7,78.1,88.1,1,STOP,5,NORMAL,26.3,2020-01-06,DAX_S1,DAX,2020
LONG,13245.2,13238.2,-7.0,21.3,0,STOP,5,NARROW,14.8,2020-01-07,DAX_S1,DAX,2020
LONG,13245.2,13249.2,4.0,22.2,0,STOP,5,NARROW,14.8,2020-01-07,DAX_S1,DAX,2020
SHORT,13129.9,13138.9,-9.0,14.0,0,STOP,5,NORMAL,38.3,2020-01-08,DAX_S1,DAX,2020
SHORT,13129.9,13128.2,1.7,18.5,0,STOP,5,NORMAL,38.3,2020-01-08,DAX_S1,DAX,2020
LONG,13494.5,13514.6,20.1,29.2,0,STOP,5,NORMAL,20.7,2020-01-09,DAX_S1,DAX,2020
LONG,13494.5,13498.2,3.7,19.2,0,STOP,5,NORMAL,20.7,2020-01-09,DAX_S1,DAX,2020
SHORT,13504.4,13499.4,5.0,15.7,0,STOP,5,NARROW,14.3,2020-01-10,DAX_S1,DAX,2020
SHORT,13504.4,13506.7,-2.3,11.2,0,STOP,5,NARROW,14.3,2020-01-10,DAX_S1,DAX,2020
LONG,13513.2,13510.7,-2.5,17.1,0,STOP,4,NARROW,11.3,2020-01-13,DAX_S1,DAX,2020
LONG,13513.2,13510.5,-2.7,6.5,0,STOP,4,NARROW,11.3,2020-01-13,DAX_S1,DAX,2020
SHORT,13370.4,13386.2,-15.8,9.2,0,STOP,5,NORMAL,28.3,2020-01-14,DAX_S1,DAX,2020
LONG,13402.7,13474.9,72.2,85.6,2,STOP,5,NORMAL,28.3,2020-01-14,DAX_S1,DAX,2020
LONG,13420.5,13438.9,18.4,36.5,0,STOP,4,NARROW,14.6,2020-01-15,DAX_S1,DAX,2020
LONG,13420.5,13431.2,10.7,27.6,0,STOP,4,NARROW,14.6,2020-01-15,DAX_S1,DAX,2020
LONG,13456.9,13467.9,11.0,36.8,0,STOP,5,NORMAL,20.5,2020-01-16,DAX_S1,DAX,2020
LONG,13456.9,13473.9,17.0,36.1,1,STOP,5,NORMAL,20.5,2020-01-16,DAX_S1,DAX,2020
SHORT,13521.2,13536.7,-15.5,1.8,0,STOP,4,NARROW,12.5,2020-01-17,DAX_S1,DAX,2020
LONG,13537.7,13529.9,-7.8,14.5,0,STOP,4,NARROW,12.5,2020-01-17,DAX_S1,DAX,2020
SHORT,13504.9,13512.5,-7.6,0.0,0,STOP,4,NARROW,10.5,2020-01-20,DAX_S1,DAX,2020
SHORT,13504.9,13508.9,-4.0,6.5,0,STOP,4,NARROW,10.5,2020-01-20,DAX_S1,DAX,2020
SHORT,13451.9,13468.9,-17.0,0.0,0,STOP,5,NARROW,13.0,2020-01-21,DAX_S1,DAX,2020
SHORT,13451.9,13467.6,-15.7,11.0,0,STOP,5,NARROW,13.0,2020-01-21,DAX_S1,DAX,2020
SHORT,13604.2,13591.7,12.5,26.3,0,STOP,5,NORMAL,32.7,2020-01-22,DAX_S1,DAX,2020
SHORT,13604.2,13575.3,28.9,41.2,1,STOP,5,NORMAL,32.7,2020-01-22,DAX_S1,DAX,2020
LONG,13460.5,13449.9,-10.6,8.3,0,STOP,4,NARROW,6.6,2020-01-23,DAX_S1,DAX,2020
SHORT,13449.9,13443.2,6.7,24.0,0,STOP,4,NARROW,6.6,2020-01-23,DAX_S1,DAX,2020
LONG,13534.2,13565.4,31.2,43.0,1,STOP,4,NARROW,9.4,2020-01-24,DAX_S1,DAX,2020
LONG,13534.2,13570.4,36.2,47.2,1,STOP,4,NARROW,9.4,2020-01-24,DAX_S1,DAX,2020
SHORT,13385.4,13376.7,8.7,23.0,0,STOP,5,NARROW,12.8,2020-01-27,DAX_S1,DAX,2020
SHORT,13385.4,13334.2,51.2,66.1,2,STOP,5,NARROW,12.8,2020-01-27,DAX_S1,DAX,2020
SHORT,13259.4,13236.9,22.5,46.0,1,STOP,4,NARROW,14.8,2020-01-28,DAX_S1,DAX,2020
SHORT,13259.4,13216.4,43.0,64.2,1,STOP,4,NARROW,14.8,2020-01-28,DAX_S1,DAX,2020
LONG,13360.9,13336.2,-24.7,0.3,0,STOP,5,NORMAL,20.7,2020-01-29,DAX_S1,DAX,2020
SHORT,13336.2,13341.4,-5.2,5.5,0,STOP,5,NORMAL,20.7,2020-01-29,DAX_S1,DAX,2020
LONG,13204.2,13191.0,-13.2,10.2,0,STOP,5,NORMAL,36.8,2020-01-30,DAX_S1,DAX,2020
LONG,13204.2,13235.4,31.2,62.0,1,STOP,5,NORMAL,36.8,2020-01-30,DAX_S1,DAX,2020
SHORT,13178.4,13189.4,-11.0,5.0,0,STOP,5,NORMAL,24.0,2020-01-31,DAX_S1,DAX,2020
SHORT,13178.4,13183.9,-5.5,8.4,0,STOP,5,NORMAL,24.0,2020-01-31,DAX_S1,DAX,2020
SHORT,13010.4,13024.2,-13.8,13.0,0,STOP,5,NORMAL,24.0,2020-02-03,DAX_S1,DAX,2020
LONG,13038.4,13032.9,-5.5,15.3,0,STOP,5,NORMAL,24.0,2020-02-03,DAX_S1,DAX,2020
LONG,13176.9,13167.4,-9.5,19.3,0,STOP,5,NARROW,11.7,2020-02-04,DAX_S1,DAX,2020
LONG,13176.9,13175.9,-1.0,13.4,0,STOP,5,NARROW,11.7,2020-02-04,DAX_S1,DAX,2020
SHORT,13235.9,13251.9,-16.0,0.0,0,STOP,4,NARROW,12.0,2020-02-05,DAX_S1,DAX,2020
LONG,13251.9,13370.9,119.0,136.5,2,STOP,4,NARROW,12.0,2020-02-05,DAX_S1,DAX,2020
SHORT,13554.4,13557.2,-2.8,11.3,0,STOP,5,NORMAL,16.1,2020-02-06,DAX_S1,DAX,2020
SHORT,13554.4,13564.8,-10.4,2.2,0,STOP,5,NORMAL,16.1,2020-02-06,DAX_S1,DAX,2020
LONG,13534.5,13530.4,-4.1,15.4,0,STOP,5,NARROW,8.6,2020-02-07,DAX_S1,DAX,2020
SHORT,13521.9,13529.2,-7.3,2.5,0,STOP,5,NARROW,8.6,2020-02-07,DAX_S1,DAX,2020
SHORT,13469.6,13459.5,10.1,23.9,0,STOP,5,NORMAL,25.7,2020-02-10,DAX_S1,DAX,2020
SHORT,13469.6,13478.4,-8.8,9.7,0,STOP,5,NORMAL,25.7,2020-02-10,DAX_S1,DAX,2020
SHORT,13626.2,13629.4,-3.2,9.8,0,STOP,5,NARROW,9.5,2020-02-11,DAX_S1,DAX,2020
SHORT,13626.2,13578.9,47.3,71.9,2,STOP,5,NARROW,9.5,2020-02-11,DAX_S1,DAX,2020
LONG,13675.9,13712.9,37.0,51.9,1,STOP,4,NARROW,11.7,2020-02-12,DAX_S1,DAX,2020
LONG,13675.9,13701.2,25.3,33.5,1,STOP,4,NARROW,11.7,2020-02-12,DAX_S1,DAX,2020
SHORT,13702.5,13686.7,15.8,26.4,0,STOP,5,NORMAL,15.0,2020-02-13,DAX_S1,DAX,2020
SHORT,13702.5,13669.9,32.6,40.5,1,STOP,5,NORMAL,15.0,2020-02-13,DAX_S1,DAX,2020
SHORT,13741.9,13748.3,-6.4,3.0,0,STOP,4,NARROW,13.0,2020-02-14,DAX_S1,DAX,2020
SHORT,13741.9,13736.2,5.7,16.7,0,STOP,4,NARROW,13.0,2020-02-14,DAX_S1,DAX,2020
SHORT,13782.9,13764.4,18.5,30.2,0,STOP,5,NARROW,8.8,2020-02-17,DAX_S1,DAX,2020
SHORT,13782.9,13765.3,17.6,26.7,1,STOP,5,NARROW,8.8,2020-02-17,DAX_S1,DAX,2020
SHORT,13685.4,13697.5,-12.1,4.2,0,STOP,5,NORMAL,16.5,2020-02-18,DAX_S1,DAX,2020
SHORT,13685.4,13695.9,-10.5,10.0,0,STOP,5,NORMAL,16.5,2020-02-18,DAX_S1,DAX,2020
LONG,13734.0,13724.9,-9.1,2.7,0,STOP,4,NARROW,13.1,2020-02-19,DAX_S1,DAX,2020
LONG,13734.0,13735.8,1.8,16.7,0,STOP,4,NARROW,13.1,2020-02-19,DAX_S1,DAX,2020
SHORT,13743.2,13751.9,-8.7,0.3,0,STOP,5,NORMAL,19.5,2020-02-20,DAX_S1,DAX,2020
LONG,13766.7,13761.2,-5.5,3.2,0,STOP,5,NORMAL,19.5,2020-02-20,DAX_S1,DAX,2020
LONG,13619.5,13651.2,31.7,64.9,1,STOP,5,NORMAL,23.6,2020-02-21,DAX_S1,DAX,2020
LONG,13619.5,13637.9,18.4,35.6,1,STOP,5,NORMAL,23.6,2020-02-21,DAX_S1,DAX,2020
SHORT,13179.2,13075.7,103.5,107.2,2,STOP,5,NORMAL,21.1,2020-02-24,DAX_S1,DAX,2020
SHORT,13179.2,13061.3,117.9,119.3,1,STOP,5,NORMAL,21.1,2020-02-24,DAX_S1,DAX,2020
SHORT,13057.0,13064.9,-7.9,19.2,0,STOP,5,NORMAL,26.6,2020-02-25,DAX_S1,DAX,2020
SHORT,13057.0,13038.2,18.8,42.5,1,STOP,5,NORMAL,26.6,2020-02-25,DAX_S1,DAX,2020
SHORT,12638.9,12534.9,104.0,137.7,2,STOP,5,NORMAL,22.0,2020-02-26,DAX_S1,DAX,2020
SHORT,12638.9,12419.4,219.5,271.8,1,STOP,5,NORMAL,22.0,2020-02-26,DAX_S1,DAX,2020
SHORT,12513.7,12484.7,29.0,60.0,1,STOP,5,NORMAL,37.0,2020-02-27,DAX_S1,DAX,2020
SHORT,12513.7,12511.0,2.7,46.5,0,STOP,5,NORMAL,37.0,2020-02-27,DAX_S1,DAX,2020
SHORT,11946.2,11820.7,125.5,131.8,2,STOP,5,WIDE,50.0,2020-02-28,DAX_S1,DAX,2020
SHORT,11946.2,11795.2,151.0,184.3,1,STOP,5,WIDE,50.0,2020-02-28,DAX_S1,DAX,2020
SHORT,12035.2,12090.7,-55.5,7.5,0,STOP,5,WIDE,50.0,2020-03-02,DAX_S1,DAX,2020
LONG,12090.7,12072.8,-17.9,32.5,0,STOP,5,WIDE,50.0,2020-03-02,DAX_S1,DAX,2020
LONG,12146.4,12157.7,11.3,52.3,1,STOP,5,NORMAL,37.4,2020-03-03,DAX_S1,DAX,2020
LONG,12146.4,12134.2,-12.2,22.3,0,STOP,5,NORMAL,37.4,2020-03-03,DAX_S1,DAX,2020
LONG,12012.2,12046.2,34.0,63.5,1,STOP,5,NORMAL,31.5,2020-03-04,DAX_S1,DAX,2020
LONG,12012.2,12060.7,48.5,84.2,1,STOP,5,NORMAL,31.5,2020-03-04,DAX_S1,DAX,2020
SHORT,12119.7,12110.2,9.5,48.0,1,STOP,5,NORMAL,35.5,2020-03-05,DAX_S1,DAX,2020
SHORT,12119.7,12071.0,48.7,92.3,2,STOP,5,NORMAL,35.5,2020-03-05,DAX_S1,DAX,2020
SHORT,11707.7,11646.0,61.7,99.0,2,STOP,5,WIDE,50.0,2020-03-06,DAX_S1,DAX,2020
SHORT,11707.7,11655.7,52.0,84.4,1,STOP,5,WIDE,50.0,2020-03-06,DAX_S1,DAX,2020
LONG,10739.2,10766.8,27.6,121.7,1,STOP,5,WIDE,50.0,2020-03-09,DAX_S1,DAX,2020
LONG,10739.2,10953.0,213.8,260.3,2,STOP,5,WIDE,50.0,2020-03-09,DAX_S1,DAX,2020
LONG,10795.8,10896.7,100.9,105.4,2,STOP,5,WIDE,50.0,2020-03-10,DAX_S1,DAX,2020
LONG,10795.8,10933.4,137.6,154.4,1,STOP,5,WIDE,50.0,2020-03-10,DAX_S1,DAX,2020
SHORT,10606.7,10606.7,0.0,63.5,0,STOP,5,WIDE,50.0,2020-03-11,DAX_S1,DAX,2020
LONG,10672.5,10703.2,30.7,79.4,2,STOP,5,WIDE,50.0,2020-03-11,DAX_S1,DAX,2020
SHORT,9857.4,9857.4,0.0,33.5,1,STOP,5,WIDE,41.5,2020-03-12,DAX_S1,DAX,2020
SHORT,9857.4,9704.4,153.0,181.0,1,STOP,5,WIDE,41.5,2020-03-12,DAX_S1,DAX,2020
LONG,9384.7,9289.4,-95.3,15.1,0,STOP,5,WIDE,50.0,2020-03-13,DAX_S1,DAX,2020
SHORT,9289.4,9258.4,31.0,104.2,2,STOP,5,WIDE,50.0,2020-03-13,DAX_S1,DAX,2020
SHORT,8602.9,8445.4,157.5,176.5,1,STOP,5,WIDE,50.0,2020-03-16,DAX_S1,DAX,2020
SHORT,8602.9,8495.2,107.7,156.5,1,STOP,5,WIDE,50.0,2020-03-16,DAX_S1,DAX,2020
SHORT,8899.5,8764.5,135.0,241.5,2,STOP,5,WIDE,50.0,2020-03-17,DAX_S1,DAX,2020
SHORT,8899.5,8650.7,248.8,293.3,1,STOP,5,WIDE,50.0,2020-03-17,DAX_S1,DAX,2020
SHORT,8570.9,8631.2,-60.3,10.0,0,STOP,5,WIDE,50.0,2020-03-18,DAX_S1,DAX,2020
LONG,8644.2,8635.1,-9.1,30.7,0,STOP,5,WIDE,50.0,2020-03-18,DAX_S1,DAX,2020
SHORT,8530.4,8603.9,-73.5,2.0,0,STOP,5,WIDE,50.0,2020-03-19,DAX_S1,DAX,2020
LONG,8603.9,8530.4,-73.5,4.2,0,STOP,5,WIDE,50.0,2020-03-19,DAX_S1,DAX,2020
SHORT,9092.1,8977.9,114.2,124.7,2,STOP,5,WIDE,50.0,2020-03-20,DAX_S1,DAX,2020
SHORT,9092.1,9065.9,26.2,86.7,1,STOP,5,WIDE,50.0,2020-03-20,DAX_S1,DAX,2020
LONG,8545.9,8488.0,-57.9,15.1,0,STOP,5,WIDE,50.0,2020-03-23,DAX_S1,DAX,2020
LONG,8545.9,8510.4,-35.5,43.1,0,STOP,5,WIDE,50.0,2020-03-23,DAX_S1,DAX,2020
SHORT,9163.9,9163.9,0.0,62.0,1,STOP,5,WIDE,50.0,2020-03-24,DAX_S1,DAX,2020
SHORT,9163.9,9170.4,-6.5,33.0,0,STOP,5,WIDE,50.0,2020-03-24,DAX_S1,DAX,2020
LONG,9999.1,9999.1,0.0,65.3,1,STOP,5,WIDE,50.0,2020-03-25,DAX_S1,DAX,2020
LONG,9999.1,10105.1,106.0,121.6,2,STOP,5,WIDE,50.0,2020-03-25,DAX_S1,DAX,2020
LONG,9644.6,9644.6,0.0,40.3,1,STOP,5,WIDE,41.7,2020-03-26,DAX_S1,DAX,2020
LONG,9644.6,9761.7,117.1,119.5,2,STOP,5,WIDE,41.7,2020-03-26,DAX_S1,DAX,2020
LONG,9847.1,9847.1,0.0,38.9,1,STOP,5,WIDE,50.0,2020-03-27,DAX_S1,DAX,2020
LONG,9847.1,9833.4,-13.7,26.9,0,STOP,5,WIDE,50.0,2020-03-27,DAX_S1,DAX,2020
SHORT,9518.9,9495.0,23.9,69.9,1,STOP,5,WIDE,50.0,2020-03-30,DAX_S1,DAX,2020
SHORT,9518.9,9472.6,46.3,62.0,0,STOP,5,WIDE,50.0,2020-03-30,DAX_S1,DAX,2020
LONG,10065.6,10038.2,-27.4,4.6,0,STOP,5,NORMAL,37.2,2020-03-31,DAX_S1,DAX,2020
SHORT,10024.4,10065.6,-41.2,14.8,0,STOP,5,NORMAL,37.2,2020-03-31,DAX_S1,DAX,2020
SHORT,9567.1,9567.1,0.0,51.6,1,STOP,5,WIDE,50.0,2020-04-01,DAX_S1,DAX,2020
SHORT,9567.1,9588.8,-21.7,20.0,0,STOP,5,WIDE,50.0,2020-04-01,DAX_S1,DAX,2020
SHORT,9585.7,9535.1,50.6,95.6,1,STOP,5,NORMAL,22.9,2020-04-02,DAX_S1,DAX,2020
SHORT,9585.7,9564.0,21.7,53.3,0,STOP,5,NORMAL,22.9,2020-04-02,DAX_S1,DAX,2020
LONG,9499.1,9533.9,34.8,74.3,1,STOP,5,NORMAL,31.2,2020-04-03,DAX_S1,DAX,2020
LONG,9499.1,9545.8,46.7,68.5,1,STOP,5,NORMAL,31.2,2020-04-03,DAX_S1,DAX,2020
SHORT,9913.1,9940.4,-27.3,0.0,0,STOP,5,NORMAL,23.3,2020-04-06,DAX_S1,DAX,2020
LONG,9940.4,9913.1,-27.3,15.5,0,STOP,5,NORMAL,23.3,2020-04-06,DAX_S1,DAX,2020
SHORT,10418.1,10437.4,-19.3,32.0,0,STOP,5,NORMAL,29.3,2020-04-07,DAX_S1,DAX,2020
LONG,10451.4,10560.4,109.0,139.0,1,STOP,5,NORMAL,29.3,2020-04-07,DAX_S1,DAX,2020
LONG,10306.6,10262.6,-44.0,7.8,0,STOP,5,NORMAL,40.0,2020-04-08,DAX_S1,DAX,2020
LONG,10306.6,10305.1,-1.5,28.1,0,STOP,5,NORMAL,40.0,2020-04-08,DAX_S1,DAX,2020
SHORT,10530.5,10560.9,-30.4,15.1,0,STOP,5,NORMAL,26.4,2020-04-09,DAX_S1,DAX,2020
LONG,10560.9,10558.7,-2.2,20.0,0,STOP,5,NORMAL,26.4,2020-04-09,DAX_S1,DAX,2020
SHORT,10582.6,10586.4,-3.8,12.5,0,STOP,5,NARROW,9.5,2020-04-13,DAX_S1,DAX,2020
SHORT,10582.6,10573.9,8.7,17.3,0,STOP,5,NARROW,9.5,2020-04-13,DAX_S1,DAX,2020
SHORT,10668.5,10671.0,-2.5,13.6,0,STOP,5,WIDE,42.7,2020-04-14,DAX_S1,DAX,2020
SHORT,10668.5,10678.8,-10.3,6.5,0,STOP,5,WIDE,42.7,2020-04-14,DAX_S1,DAX,2020
SHORT,10567.2,10511.7,55.5,88.8,2,STOP,5,WIDE,50.0,2020-04-15,DAX_S1,DAX,2020
SHORT,10567.2,10530.5,36.7,74.1,1,STOP,5,WIDE,50.0,2020-04-15,DAX_S1,DAX,2020
LONG,10385.6,10393.1,7.5,39.8,1,STOP,5,NORMAL,29.0,2020-04-16,DAX_S1,DAX,2020
LONG,10385.6,10412.9,27.3,50.5,1,STOP,5,NORMAL,29.0,2020-04-16,DAX_S1,DAX,2020
LONG,10651.7,10645.6,-6.1,15.9,0,STOP,5,NORMAL,27.1,2020-04-17,DAX_S1,DAX,2020
SHORT,10620.6,10620.6,0.0,38.5,0,STOP,5,NORMAL,27.1,2020-04-17,DAX_S1,DAX,2020
LONG,10660.2,10660.2,0.0,41.4,0,STOP,5,NORMAL,34.7,2020-04-20,DAX_S1,DAX,2020
LONG,10660.2,10680.7,20.5,41.6,1,STOP,5,NORMAL,34.7,2020-04-20,DAX_S1,DAX,2020
SHORT,10451.2,10438.2,13.0,36.3,1,STOP,5,NORMAL,22.6,2020-04-21,DAX_S1,DAX,2020
SHORT,10451.2,10445.7,5.5,25.9,0,STOP,5,NORMAL,22.6,2020-04-21,DAX_S1,DAX,2020
LONG,10370.5,10353.4,-17.1,20.4,0,STOP,5,NORMAL,26.6,2020-04-22,DAX_S1,DAX,2020
LONG,10370.5,10364.4,-6.1,12.0,0,STOP,5,NORMAL,26.6,2020-04-22,DAX_S1,DAX,2020
SHORT,10368.4,10377.2,-8.8,17.1,0,STOP,5,WIDE,50.0,2020-04-23,DAX_S1,DAX,2020
SHORT,10368.4,10350.1,18.3,46.0,1,STOP,5,WIDE,50.0,2020-04-23,DAX_S1,DAX,2020
SHORT,10324.2,10328.4,-4.2,17.2,0,STOP,5,NORMAL,24.7,2020-04-24,DAX_S1,DAX,2020
LONG,10352.9,10342.4,-10.5,3.0,0,STOP,5,NORMAL,24.7,2020-04-24,DAX_S1,DAX,2020
LONG,10580.7,10596.2,15.5,34.3,1,STOP,5,NORMAL,18.8,2020-04-27,DAX_S1,DAX,2020
LONG,10580.7,10579.8,-0.9,22.7,0,STOP,5,NORMAL,18.8,2020-04-27,DAX_S1,DAX,2020
LONG,10669.4,10732.3,62.9,81.3,2,STOP,4,NARROW,12.5,2020-04-28,DAX_S1,DAX,2020
LONG,10669.4,10714.2,44.8,60.0,1,STOP,4,NARROW,12.5,2020-04-28,DAX_S1,DAX,2020
LONG,10809.6,10793.2,-16.4,5.7,0,STOP,5,NORMAL,19.5,2020-04-29,DAX_S1,DAX,2020
LONG,10809.6,10820.1,10.5,36.8,1,STOP,5,NORMAL,19.5,2020-04-29,DAX_S1,DAX,2020
SHORT,11132.6,11129.1,3.5,41.8,1,STOP,5,NORMAL,38.8,2020-04-30,DAX_S1,DAX,2020
SHORT,11132.6,11116.1,16.5,52.3,1,STOP,5,NORMAL,38.8,2020-04-30,DAX_S1,DAX,2020
SHORT,10580.2,10582.7,-2.5,12.1,0,STOP,5,NORMAL,20.5,2020-05-01,DAX_S1,DAX,2020
LONG,10604.7,10592.7,-12.0,6.6,0,STOP,5,NORMAL,20.5,2020-05-01,DAX_S1,DAX,2020
LONG,10529.6,10542.1,12.5,41.0,1,STOP,5,NORMAL,26.1,2020-05-04,DAX_S1,DAX,2020
LONG,10529.6,10539.1,9.5,46.3,1,STOP,5,NORMAL,26.1,2020-05-04,DAX_S1,DAX,2020
SHORT,10641.3,10664.7,-23.4,4.7,0,STOP,5,NORMAL,19.4,2020-05-05,DAX_S1,DAX,2020
LONG,10664.7,10667.3,2.6,15.9,0,STOP,5,NORMAL,19.4,2020-05-05,DAX_S1,DAX,2020
SHORT,10708.1,10679.8,28.3,49.5,1,STOP,5,NORMAL,17.0,2020-05-06,DAX_S1,DAX,2020
SHORT,10708.1,10701.6,6.5,30.5,1,STOP,5,NORMAL,17.0,2020-05-06,DAX_S1,DAX,2020
SHORT,10672.1,10685.8,-13.7,5.8,0,STOP,5,NORMAL,21.2,2020-05-07,DAX_S1,DAX,2020
LONG,10697.3,10688.1,-9.2,3.0,0,STOP,5,NORMAL,21.2,2020-05-07,DAX_S1,DAX,2020
LONG,10898.6,10879.8,-18.8,1.2,0,STOP,4,NARROW,14.8,2020-05-08,DAX_S1,DAX,2020
SHORT,10879.8,10837.6,42.2,61.2,2,STOP,4,NARROW,14.8,2020-05-08,DAX_S1,DAX,2020
SHORT,10959.6,10943.4,16.2,24.8,0,STOP,5,NORMAL,21.0,2020-05-11,DAX_S1,DAX,2020
SHORT,10959.6,10850.1,109.5,111.5,2,STOP,5,NORMAL,21.0,2020-05-11,DAX_S1,DAX,2020
SHORT,10834.1,10827.8,6.3,26.8,0,STOP,5,NORMAL,17.7,2020-05-12,DAX_S1,DAX,2020
SHORT,10834.1,10834.1,0.0,25.9,0,STOP,5,NORMAL,17.7,2020-05-12,DAX_S1,DAX,2020
SHORT,10627.4,10599.6,27.8,47.6,1,STOP,5,NORMAL,20.5,2020-05-13,DAX_S1,DAX,2020
SHORT,10627.4,10609.7,17.7,34.6,1,STOP,5,NORMAL,20.5,2020-05-13,DAX_S1,DAX,2020
SHORT,10447.1,10463.9,-16.8,15.0,0,STOP,5,NORMAL,24.8,2020-05-14,DAX_S1,DAX,2020
SHORT,10447.1,10388.8,58.3,84.0,2,STOP,5,NORMAL,24.8,2020-05-14,DAX_S1,DAX,2020
SHORT,10456.1,10471.6,-15.5,9.3,0,STOP,5,NORMAL,22.7,2020-05-15,DAX_S1,DAX,2020
LONG,10482.8,10488.3,5.5,18.7,0,STOP,5,NORMAL,22.7,2020-05-15,DAX_S1,DAX,2020
LONG,10721.1,10705.8,-15.3,18.0,0,STOP,5,NORMAL,23.0,2020-05-18,DAX_S1,DAX,2020
LONG,10721.1,10742.1,21.0,61.3,1,STOP,5,NORMAL,23.0,2020-05-18,DAX_S1,DAX,2020
SHORT,11143.6,11090.4,53.2,94.3,1,STOP,5,NORMAL,32.7,2020-05-19,DAX_S1,DAX,2020
SHORT,11143.6,11028.6,115.0,138.4,1,STOP,5,NORMAL,32.7,2020-05-19,DAX_S1,DAX,2020
LONG,11025.0,10997.1,-27.9,5.1,0,STOP,5,NORMAL,24.0,2020-05-20,DAX_S1,DAX,2020
SHORT,10997.1,11000.9,-3.8,22.3,0,STOP,5,NORMAL,24.0,2020-05-20,DAX_S1,DAX,2020
LONG,11098.8,11120.0,21.2,41.4,1,STOP,5,NORMAL,18.2,2020-05-21,DAX_S1,DAX,2020
LONG,11098.8,11093.8,-5.0,14.9,0,STOP,5,NORMAL,18.2,2020-05-21,DAX_S1,DAX,2020
LONG,10915.1,10905.9,-9.2,17.6,0,STOP,5,NORMAL,22.9,2020-05-22,DAX_S1,DAX,2020
LONG,10915.1,10920.6,5.5,27.6,0,STOP,5,NORMAL,22.9,2020-05-22,DAX_S1,DAX,2020
SHORT,11134.7,11155.4,-20.7,20.6,0,STOP,5,NORMAL,16.7,2020-05-25,DAX_S1,DAX,2020
LONG,11155.4,11160.8,5.4,27.7,0,STOP,5,NORMAL,16.7,2020-05-25,DAX_S1,DAX,2020
SHORT,11496.6,11453.2,43.4,64.8,1,STOP,5,NORMAL,22.1,2020-05-26,DAX_S1,DAX,2020
SHORT,11496.6,11480.6,16.0,37.3,0,STOP,5,NORMAL,22.1,2020-05-26,DAX_S1,DAX,2020
LONG,11544.7,11544.7,0.0,25.5,0,STOP,5,NORMAL,17.1,2020-05-27,DAX_S1,DAX,2020
LONG,11544.7,11589.6,44.9,64.4,1,STOP,5,NORMAL,17.1,2020-05-27,DAX_S1,DAX,2020
LONG,11732.9,11718.8,-14.1,15.7,0,STOP,5,NORMAL,31.0,2020-05-28,DAX_S1,DAX,2020
LONG,11732.9,11763.8,30.9,58.7,1,STOP,5,NORMAL,31.0,2020-05-28,DAX_S1,DAX,2020
LONG,11667.6,11628.3,-39.3,0.6,0,STOP,5,NORMAL,35.3,2020-05-29,DAX_S1,DAX,2020
SHORT,11628.3,11612.8,15.5,40.2,1,STOP,5,NORMAL,35.3,2020-05-29,DAX_S1,DAX,2020
LONG,11798.1,11792.2,-5.9,17.0,0,STOP,4,NARROW,13.8,2020-06-01,DAX_S1,DAX,2020
LONG,11798.1,11791.1,-7.0,14.7,0,STOP,4,NARROW,13.8,2020-06-01,DAX_S1,DAX,2020
LONG,11888.1,11924.1,36.0,66.5,2,STOP,5,NORMAL,27.5,2020-06-02,DAX_S1,DAX,2020
LONG,11888.1,11992.7,104.6,115.1,2,STOP,5,NORMAL,27.5,2020-06-02,DAX_S1,DAX,2020
LONG,12211.7,12218.1,6.4,30.1,1,STOP,5,NORMAL,36.4,2020-06-03,DAX_S1,DAX,2020
LONG,12211.7,12217.1,5.4,26.1,0,STOP,5,NORMAL,36.4,2020-06-03,DAX_S1,DAX,2020
LONG,12432.7,12426.6,-6.1,22.0,0,STOP,5,NORMAL,24.4,2020-06-04,DAX_S1,DAX,2020
LONG,12432.7,12452.3,19.6,52.9,1,STOP,5,NORMAL,24.4,2020-06-04,DAX_S1,DAX,2020
LONG,12691.6,12706.8,15.2,37.2,1,STOP,5,WIDE,45.0,2020-06-05,DAX_S1,DAX,2020
LONG,12691.6,12681.8,-9.8,3.6,0,STOP,5,WIDE,45.0,2020-06-05,DAX_S1,DAX,2020
SHORT,12707.6,12730.7,-23.1,2.4,0,STOP,5,NORMAL,19.1,2020-06-08,DAX_S1,DAX,2020
LONG,12730.7,12730.7,0.0,48.4,1,STOP,5,NORMAL,19.1,2020-06-08,DAX_S1,DAX,2020
SHORT,12747.6,12702.1,45.5,98.3,1,STOP,5,NORMAL,39.0,2020-06-09,DAX_S1,DAX,2020
SHORT,12747.6,12720.1,27.5,50.5,0,STOP,5,NORMAL,39.0,2020-06-09,DAX_S1,DAX,2020
